,,"Target Cancer Risk
(Residential)","Target Cancer Risk
(C/I)","Target Cancer Risk
(Const. Workers)",,,,,,,
88-72-2,"NITROTOLUENE, 2-",0.000001,0.000001,0.000001,0.2,N,V,Y,370.60,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
99-08-1,"NITROTOLUENE, 3-",,,,0.2,N,V,Y,363.20,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
99-99-0,"NITROTOLUENE, 4-",0.000001,0.000001,0.00001,0.2,N,NV,Y,363.20,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
87-86-5,PENTACHLOROPHENOL,0.000001,0.000001,0.00001,0.2,N,NV,Y,592.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
78-11-5,PENTAERYTHRITOLTETRANITRATE (PETN),0.000001,0.000001,0.00001,0.2,N,NV,Y,647.90,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
14797-73-0,PERCHLORATE,,,,0.2,N,NV,Y, ,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
85-01-8,PHENANTHRENE,,,,0.2,N,V,N,14000.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
108-95-2,PHENOL,,,,0.2,N,NV,N,187.20,4,Non-persistent contaminant with relatively low mobility potential.  Consider natural attenuation over time in final remedial actions.  See Advanced EHE Options tab of Surfer.
11097-69-1,POLYCHLORINATED BIPHENYLS (PCBs),0.00001,0.00001,0.00001,1.0,N,NV,Y,130500.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
60207-90-1,PROPICONAZOLE,,,,0.2,N,NV,Y,1556.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
129-00-0,PYRENE,,,,0.2,N,V,N,54340.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
7782-49-2,SELENIUM,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
7440-22-4,SILVER,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
122-34-9,SIMAZINE,0.000001,0.000001,0.00001,0.2,N,NV,Y,146.50,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
100-42-5,STYRENE,0.000001,0.000001,0.000001,0.2,N,V,N,446.10,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
5902-51-2,TERBACIL,,,,0.2,N,NV,Y,50.10,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
75-65-0,tert-BUTYL ALCOHOL,0.000001,0.000001,0.000001,0.2,N,V,Y,37.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
630-20-6,"TETRACHLOROETHANE, 1,1,1,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,86.03,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
79-34-5,"TETRACHLOROETHANE, 1,1,2,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,94.94,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
127-18-4,TETRACHLOROETHYLENE,0.000001,0.000001,0.000001,0.2,N,V,Y,94.94,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
58-90-2,"TETRACHLOROPHENOL, 2,3,4,6-",,,,0.2,N,NV,Y,280.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
2691-41-0,"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",,,,0.2,N,NV,Y,531.60,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
7440-28-0,THALLIUM,,,,1.0,Y,NV,Y, ,2,"Data for natural, background levels of thallium in soil lacking but could exceed soil Tier 1 EAL (based on direct exposure action level and target noncancer HQ of 1.0). Naturally occurring thallium expected to be tightly bound to soil and non-toxic.  Direct exposure action levels only applicable to releases of thallium salts with high bioavailability."
108-88-3,TOLUENE,,,,0.2,N,V,N,233.90,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
8001-35-2,TOXAPHENE,0.000001,0.000001,0.00001,0.2,N,NV,Y,77200.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
Gasoline (TPHg),TPH (gasolines),,,,1.0,N,V,N,5000.00,1,Refer to Vol 1 (Sect 2.6) of EHE guidance for discussion of TPH and target indicator compounds. Analyze soil gas for TPH (or equivalent) for site-specific evaluation of vapor intrusion hazards.  Consider natural attenuation over time in final remedial actions.
Diesel (TPHmd),TPH (middle distillates),,,,1.0,N,V,N,5000.00,1,Refer to Vol 1 (Sect 2.6) of EHE guidance for discussion of TPH and target indicator compounds. Analyze soil gas for TPH (or equivalent) for site-specific evaluation of vapor intrusion hazards.  Consider natural attenuation over time in final remedial actions.
Oil (TPHrf),TPH (residual fuels),,,,1.0,N,NV,N, ,5,"Refer to Vol 1 (Sect 2.6) of EHE guidance for discussion of TPH and target indicator compounds. Include testing for PCBs, PAHs, metals, chlorinated solvents, etc., at waste oil releases. Consider natural attenuation over time in final remedial actions."
120-82-1,"TRICHLOROBENZENE, 1,2,4-",0.000001,0.000001,0.000001,0.2,N,V,Y,1356.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
71-55-6,"TRICHLOROETHANE, 1,1,1-",,,,0.2,N,V,Y,43.89,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
79-00-5,"TRICHLOROETHANE, 1,1,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,60.70,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
79-01-6,TRICHLOROETHYLENE,0.000001,0.000001,0.000001,0.2,N,V,Y,60.70,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
95-95-4,"TRICHLOROPHENOL, 2,4,5-",,,,0.2,N,NV,Y,1597.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
88-06-2,"TRICHLOROPHENOL, 2,4,6-",0.000001,0.000001,0.00001,0.2,N,NV,Y,381.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
93-76-5,"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",,,,0.2,N,NV,Y,107.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
93-72-1,"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",,,,0.2,N,NV,Y,175.30,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
96-18-4,"TRICHLOROPROPANE, 1,2,3-",0.000001,0.000001,0.000001,0.2,N,V,Y,115.80,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
96-19-5,"TRICHLOROPROPENE, 1,2,3-",,,,0.2,N,V,Y,115.80,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
1582-09-8,TRIFLURALIN,0.000001,0.000001,0.00001,0.2,N,NV,Y,16390.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
99-35-4,"TRINITROBENZENE, 1,3,5-",0.000001,0.000001,0.00001,0.2,N,NV,Y,1683.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
479-45-8,"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",,,,0.2,N,NV,Y,4605.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
118-96-7,"TRINITROTOLUENE, 2,4,6- (TNT)",0.000001,0.000001,0.00001,0.2,N,NV,Y,2812.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
7440-62-2,VANADIUM,0.000001,0.000001,0.00001,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
75-01-4,VINYL CHLORIDE,0.000001,0.000001,0.000001,0.2,N,V,Y,21.73,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
1330-20-7,XYLENES,,,,0.2,N,V,N,382.90,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
7440-66-6,ZINC,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
